Cluster,Lat,Lng
Alfredton,-37.54173636281507,143.749330252453
Ballarat,-37.5561439450457,143.83665489612585
Buninyong,-37.643854141582494,143.880777903821
Delacombe,-37.58222851797997,143.77847784283048
Smythes Creek,-37.62024909240558,143.74623319717654
Wendouree - Miners Rest,-37.497553655938574,143.80255434966588
Ballarat East - Warrenheip,-37.57007234665709,143.90761119043637
Ballarat North - Invermay,-37.515863754350114,143.89734669730916
Canadian - Mount Clear,-37.59239747284296,143.87418185502426
Sebastopol - Redan,-37.595174074567716,143.83647406270015
Bacchus Marsh Surrounds,-37.63030338480895,144.30970705031817
Creswick - Clunes,-37.35415797513128,143.8354339957665
Daylesford,-37.31776547274194,144.18581542783056
Gordon (Vic.),-37.64732793659666,144.0393658825221
Avoca,-37.108931178077455,143.3740595187135
Beaufort,-37.495969796117535,143.39327544819014
Golden Plains - North,-37.77560623786848,143.6265626500349
Maryborough (Vic.),-37.047467574460406,143.744063757512
Maryborough Surrounds,-36.98133748063582,143.70710373781688
Bendigo,-36.748320743780475,144.27025327243672
California Gully - Eaglehawk,-36.70665604436903,144.26070108778046
East Bendigo - Kennington,-36.752323676776854,144.31556903140003
Flora Hill - Spring Gully,-36.79161662646112,144.28712763742024
Kangaroo Flat - Golden Square,-36.80638309926381,144.24265138030466
Maiden Gully,-36.753859286031016,144.20787983639303
Strathfieldsaye,-36.78881818273962,144.35895233519474
White Hills - Ascot,-36.67623619200696,144.32175799664208
Bendigo Surrounds - South,-36.84329362424188,144.24586382959336
Castlemaine,-37.083459777331065,144.2369233940565
Castlemaine Surrounds,-37.04678991073634,144.18984239077886
Heathcote,-36.86076084066643,144.6477220443684
Kyneton,-37.22141528425862,144.5050449221569
Woodend,-37.356314942844314,144.5173110237316
Bendigo Surrounds - North,-36.56234358436687,144.36784860534044
Loddon,-36.34009403856519,143.85651008768352
Bannockburn,-38.06976758387587,144.17864467944713
Golden Plains - South,-37.942085645315714,143.93955926302087
Winchelsea,-38.255444076495586,144.04272087273665
Belmont,-38.17856211783474,144.34213376480542
Geelong,-38.163825917044704,144.3698807338648
Geelong West - Hamlyn Heights,-38.12649949953636,144.30195760255424
Highton,-38.177762553987456,144.2859972181912
Lara,-37.94776762775304,144.37807352358732
Leopold,-38.19280114463676,144.4689004729482
Newcomb - Moolap,-38.179818211407046,144.41762070656998
Newtown (Vic.),-38.15392608454858,144.3350553043362
North Geelong - Bell Park,-38.102136990333435,144.32137861423126
Charlemont,-38.21566497252417,144.36003212676243
Corio - Lovely Banks,-38.05043650159764,144.3226148442866
Grovedale - Mount Duneed,-38.22197252929068,144.29926230453955
Norlane,-38.09158166357085,144.3592919121816
Clifton Springs,-38.173930612151075,144.5760236533097
Lorne - Anglesea,-38.441908943757824,144.01959217756317
Portarlington,-38.15332562368533,144.66583379918288
Point Lonsdale - Queenscliff,-38.234316005861544,144.6166903811444
Torquay,-38.32022096195881,144.2806824905165
Barwon Heads - Armstrong Creek,-38.256433025293944,144.41960740480633
Ocean Grove,-38.23801777363226,144.53034307797827
Alexandra,-37.31869751366658,145.79461191804424
Euroa,-36.732686331446736,145.59758993245586
Kilmore - Broadford,-37.246343973151646,144.98327869776713
Mansfield (Vic.),-37.19706823783798,146.2080467917136
Nagambie,-36.8202789214864,145.155578549756
Seymour,-37.016009335866386,145.16214872722196
Seymour Surrounds,-37.045906283006154,144.9583627511123
Upper Yarra Valley,-37.65149227560005,145.97602888507137
Yea,-37.261034488872546,145.43247877406117
Benalla,-36.57889465139712,145.99677340629535
Benalla Surrounds,-36.58149619744001,146.0165902376059
Rutherglen,-36.066001969010095,146.4260305398467
Wangaratta,-36.35889079831433,146.30965763713522
Wangaratta Surrounds,-36.59192651415256,146.43029145206776
Beechworth,-36.34219337343711,146.71471494585543
Bright - Mount Beauty,-36.89599321600387,146.99684112730938
Chiltern - Indigo Valley,-36.15640642196178,146.64929331950535
Myrtleford,-36.552639952848494,146.8107046519447
Towong,-36.35453864051518,147.59931000154197
